danceability,energy,valence,acousticness,artist,group,PC1,PC2
0.431,0.373,0.253,0.389,Pink Floyd,Organic,-0.49474423794640976,-0.32170233388816144
0.264,0.294,0.0402,0.772,Pink Floyd,Organic,-2.0590394379704837,-0.3850562218710872
0.519,0.413,0.267,0.205,Pink Floyd,Organic,0.13609382876082435,-0.4189087248695179
0.468,0.536,0.785,0.024,Pink Floyd,Organic,1.417389838663504,-0.20668572295907936
0.287,0.499,0.142,0.464,Pink Floyd,Organic,-0.886902548317072,-0.9934296381957798
0.324,0.265,0.208,0.0732,Pink Floyd,Organic,-0.622264129580268,-1.1525656804082003
0.587,0.302,0.19,0.223,Pink Floyd,Organic,-0.09321688280991311,-0.14985222494889988
0.454,0.65,0.72,0.407,Pink Floyd,Organic,0.9511108679758419,0.1796834464418713
0.357,0.302,0.135,0.862,Pink Floyd,Organic,-1.7725872356611854,0.2148373930477048
0.285,0.322,0.138,0.367,Pink Floyd,Organic,-1.1589164911138756,-0.9344913568326383
0.442,0.56,0.475,0.252,Pink Floyd,Organic,0.5422111727175839,-0.4268314082931941
0.381,0.341,0.178,0.161,Pink Floyd,Organic,-0.47851818685191444,-0.9738207134190298
0.381,0.358,0.036,0.524,Pink Floyd,Organic,-1.2280333294102956,-0.5741179223519156
0.359,0.577,0.141,0.0589,Pink Floyd,Organic,0.10110722253526021,-1.6225779798005715
0.578,0.15,0.12,0.243,Pink Floyd,Organic,-0.6140104696038388,-0.045251492200982124
0.599,0.399,0.222,0.128,Pink Floyd,Organic,0.3602418997602446,-0.3688592952707603
0.517,0.463,0.49,0.0116,Pink Floyd,Organic,0.9102415499441497,-0.4727339755506182
0.615,0.55,0.549,0.0546,Pink Floyd,Organic,1.4044958771014562,-0.11474780989869947
0.515,0.565,0.374,0.113,Pink Floyd,Organic,0.7932562040956378,-0.6327527951462504
0.277,0.672,0.505,0.197,Pink Floyd,Organic,0.4934895267881432,-1.1434057968990055
0.321,0.479,0.14,0.076,Pink Floyd,Organic,-0.25392820077252515,-1.5724105687835228
0.497,0.278,0.293,0.731,Pink Floyd,Organic,-0.9927774215549853,0.7076710064135256
0.389,0.563,0.134,0.65,Pink Floyd,Organic,-0.7640011099876026,-0.442507939625268
0.396,0.341,0.148,0.384,Pink Floyd,Organic,-0.8282030622477402,-0.5708141209403865
0.288,0.485,0.124,0.576,Pink Floyd,Organic,-1.117093805926596,-0.7964304962653596
0.638,0.0811,0.0503,0.879,Pink Floyd,Organic,-1.697890328027986,1.2809341841344835
0.419,0.575,0.354,0.103,Pink Floyd,Organic,0.5421851336573216,-0.995017928761919
0.664,0.171,0.378,0.3,Pink Floyd,Organic,0.0043389667863911584,0.729595685972955
0.361,0.211,0.222,0.452,Pink Floyd,Organic,-1.2023810615024684,-0.246973083528423
0.162,0.411,0.246,0.3,Pink Floyd,Organic,-1.001058327901399,-1.3795413857184748
0.462,0.364,0.0781,0.787,Pink Floyd,Organic,-1.329299673255859,0.21869666827697676
0.74,0.231,0.546,0.551,Pink Floyd,Organic,0.2410078105592888,1.6213298439573516
0.479,0.324,0.57,0.204,Pink Floyd,Organic,0.3275618698640866,0.09183527127503083
0.691,0.324,0.543,0.171,Pink Floyd,Organic,0.8990320112350236,0.6401935536131099
0.406,0.128,0.191,0.359,Pink Floyd,Organic,-1.1831048672462772,-0.21346758558517506
0.448,0.402,0.244,0.365,Pink Floyd,Organic,-0.3608377410723201,-0.3690528046630711
0.671,0.0721,0.334,0.514,Pink Floyd,Organic,-0.6041131377554954,1.207018964827333
0.381,0.508,0.403,0.00613,Pink Floyd,Organic,0.515196392136617,-1.1123349934471458
0.316,0.49,0.267,0.416,Pink Floyd,Organic,-0.5500172056189347,-0.7682356609902585
0.653,0.472,0.448,0.0554,Pink Floyd,Organic,1.1576463358190643,-0.05655868834958648
0.28,0.716,0.0618,0.0652,Pink Floyd,Organic,0.06983367212148145,-2.1839003196152973
0.602,0.426,0.363,0.306,Pink Floyd,Organic,0.3925927612867438,0.16520827356191953
0.464,0.65,0.15,0.174,Pink Floyd,Organic,0.3890260038827279,-1.175897912570573
0.469,0.6,0.135,0.132,Pink Floyd,Organic,0.32632836427659534,-1.1921227905240888
0.503,0.148,0.521,0.807,Pink Floyd,Organic,-1.0146549909001663,1.4322384506798365
0.307,0.0742,0.0394,0.72,Pink Floyd,Organic,-2.3729041218194626,-0.0394679763795794
0.315,0.428,0.17,0.0237,Pink Floyd,Organic,-0.25805508797448984,-1.5641236263580434
0.497,0.771,0.24,0.187,Pink Floyd,Organic,0.8852357583202043,-1.0688438947239995
0.555,0.0193,0.31,0.917,Pink Floyd,Organic,-1.6896893815182392,1.6189686625270323
0.219,0.453,0.239,0.0364,Pink Floyd,Organic,-0.36176095360445293,-1.7559999921491398
0.571,0.198,0.326,0.435,Pink Floyd,Organic,-0.47364123020129645,0.5635596565266826
0.23,0.704,0.308,0.767,Pink Floyd,Organic,-0.753636931412051,-0.6244730898204006
0.348,0.633,0.0805,0.376,Pink Floyd,Organic,-0.38290651130492454,-1.2581295655723088
0.324,0.11,0.0393,0.0847,Pink Floyd,Organic,-1.276460030520886,-1.197882251016377
0.23,0.429,0.324,0.417,Pink Floyd,Organic,-0.8272826923146814,-0.849863202736395
0.315,0.218,0.156,0.305,Pink Floyd,Organic,-1.1941935046497218,-0.7785041262532163
0.158,0.615,0.303,0.689,Pink Floyd,Organic,-1.040295751078961,-0.8723147946832416
0.423,0.407,0.368,0.00586,Pink Floyd,Organic,0.3369559261245162,-0.9001401452949986
0.386,0.348,0.265,0.626,Pink Floyd,Organic,-1.0139873019448553,0.027712096036852468
0.251,0.148,0.0569,0.713,Pink Floyd,Organic,-2.312623164363818,-0.2993729810307298
0.292,0.454,0.105,0.371,Pink Floyd,Organic,-0.8967474128160711,-1.1469236255958393
0.204,0.401,0.103,0.211,Pink Floyd,Organic,-1.0131346076018983,-1.6394927974830151
0.179,0.162,0.0869,0.678,Pink Floyd,Organic,-2.369481234939583,-0.554584730754371
0.285,0.655,0.0397,0.00678,Pink Floyd,Organic,-0.004939074960144402,-2.22660848517885
0.714,0.224,0.339,0.189,Pink Floyd,Organic,0.36461750179763375,0.5408324019689009
0.368,0.28,0.408,0.522,Pink Floyd,Organic,-0.8233378113679034,0.11895183832071529
0.508,0.103,0.196,0.918,Pink Floyd,Organic,-1.812562636400129,1.1658412537019196
0.259,0.45,0.142,0.39,Pink Floyd,Organic,-0.9617408034837746,-1.1460456831803305
0.456,0.711,0.412,0.203,Pink Floyd,Organic,0.8979849670203662,-0.7917687437050551
0.311,0.493,0.0931,0.00633,Pink Floyd,Organic,-0.21979584526315576,-1.8292722298734312
0.428,0.284,0.169,0.687,Pink Floyd,Organic,-1.3014052503431717,0.1969275441007681
0.33,0.283,0.287,0.575,Pink Floyd,Organic,-1.1990741458576857,-0.10969605813277038
0.456,0.318,0.203,0.0545,Pink Floyd,Organic,-0.12754022568059553,-0.8624147128158449
0.673,0.386,0.194,0.242,Pink Floyd,Organic,0.30759472420510386,0.03877670148020717
0.309,0.49,0.212,0.234,Pink Floyd,Organic,-0.38227743220963895,-1.2149624180237448
0.414,0.37,0.33,0.696,Pink Floyd,Organic,-0.8876246715493612,0.32058178130950443
0.568,0.413,0.634,0.582,Pink Floyd,Organic,0.2998688057888746,1.0395221056176942
0.628,0.473,0.303,0.0355,Pink Floyd,Organic,0.8834095053692408,-0.4158852983515301
0.365,0.204,0.201,0.352,Pink Floyd,Organic,-1.0901371424232988,-0.44282693195470063
0.596,0.17,0.486,0.256,Pink Floyd,Organic,0.06649556737689463,0.6228800373872083
0.445,0.332,0.144,0.479,Pink Floyd,Organic,-0.8696392082706944,-0.24018974214640906
0.315,0.405,0.215,0.239,Pink Floyd,Organic,-0.5648298293771246,-1.062675109041324
0.529,0.739,0.138,0.0237,Bonobo,Organic,0.9769612465429418,-1.3952884284469118
0.542,0.749,0.674,0.173,Bonobo,Organic,1.6948013916151836,-0.19299534599675713
0.64,0.844,0.364,0.395,Bonobo,Organic,1.3233963336980614,-0.1413740653881693
0.705,0.88,0.581,0.00481,Bonobo,Organic,2.53424467700043,-0.338307092600884
0.713,0.725,0.24,0.539,Bonobo,Organic,0.8190215839808629,0.3052660462114561
0.525,0.499,0.338,0.732,Bonobo,Organic,-0.33566192536359024,0.5608336259290678
0.757,0.637,0.429,0.0668,Bonobo,Organic,1.7666912669204142,0.021000940331755893
0.595,0.788,0.414,0.195,Bonobo,Organic,1.4619877567798785,-0.4824404843983605
0.705,0.882,0.583,0.0048,Bonobo,Organic,2.542182117033653,-0.3377676046750325
0.711,0.769,0.482,0.19,Bonobo,Organic,1.8480712800251065,0.007717880545009283
0.706,0.697,0.377,0.316,Bonobo,Organic,1.302742618096989,0.14671198174372063
0.757,0.637,0.429,0.0668,Bonobo,Organic,1.7666912669204142,0.021000940331755893
0.552,0.328,0.0396,0.78,Bonobo,Organic,-1.225138301782214,0.4693611597337835
0.486,0.366,0.0938,0.789,Bonobo,Organic,-1.237675834744319,0.3200563290586611
0.561,0.565,0.0392,0.763,Bonobo,Organic,-0.6296067308856352,0.13197858984067565
0.74,0.708,0.0716,0.0213,Bonobo,Organic,1.3623961781248457,-0.8169322669917759
0.667,0.299,0.382,0.751,Bonobo,Organic,-0.37370269927425775,1.3892381310043158
0.605,0.644,0.747,0.00379,Bonobo,Organic,1.99987279308797,-0.03687255353010462
0.676,0.606,0.0911,0.604,Bonobo,Organic,0.10025566709449543,0.2262272000994862
0.641,0.631,0.0549,0.048,Bonobo,Organic,0.8523002425109293,-0.993462947312824
0.74,0.512,0.0824,0.257,Bonobo,Organic,0.5691324741571807,-0.09248787119517592
0.701,0.557,0.586,0.102,Bonobo,Organic,1.639185249839991,0.28971097911405924
0.681,0.574,0.307,0.247,Bonobo,Organic,0.9417917285508494,-0.0014089347865789054
0.635,0.784,0.31,0.337,Bonobo,Organic,1.1707617837728004,-0.2693533808505596
0.698,0.605,0.467,0.257,Bonobo,Organic,1.308369609565029,0.2954174875374714
0.644,0.432,0.0862,0.757,Bonobo,Organic,-0.6276158807521122,0.6434688268291907
0.776,0.474,0.195,0.0208,Bonobo,Organic,1.1242957060687175,-0.16953391472428989
0.556,0.622,0.177,0.587,Bonobo,Organic,-0.01497676387885102,-0.05279751560281911
0.669,0.885,0.636,0.0181,Bonobo,Organic,2.5205065149675665,-0.33943324175102296
0.731,0.671,0.055,0.213,Bonobo,Organic,0.9332918064575118,-0.4705039682416269
0.679,0.95,0.0495,0.0707,Bonobo,Organic,1.645419477803954,-1.2926462316572906
0.641,0.414,0.269,0.362,Bonobo,Organic,0.2279560001660123,0.24624879827165144
0.653,0.64,0.551,0.00207,Bonobo,Organic,1.796773214269865,-0.2166850984910826
0.54,0.461,0.107,0.236,Bonobo,Organic,-0.009489204961681142,-0.6347417740599918
0.622,0.665,0.457,0.16,Bonobo,Organic,1.3751469671091447,-0.21752189553909554
