resample,ghost_custom_frac,organic_custom_frac,separation
569,1.0,0.13333333333333333,0.8666666666666667
570,1.0,0.3,0.7
571,1.0,0.13333333333333333,0.8666666666666667
572,1.0,0.13333333333333333,0.8666666666666667
573,1.0,0.23333333333333334,0.7666666666666666
574,1.0,0.43333333333333335,0.5666666666666667
575,1.0,0.3,0.7
576,1.0,0.23333333333333334,0.7666666666666666
577,1.0,0.26666666666666666,0.7333333333333334
578,1.0,0.3333333333333333,0.6666666666666667
579,1.0,0.26666666666666666,0.7333333333333334
580,1.0,0.4,0.6
581,1.0,0.26666666666666666,0.7333333333333334
582,1.0,0.26666666666666666,0.7333333333333334
583,1.0,0.4,0.6
584,1.0,0.23333333333333334,0.7666666666666666
585,1.0,0.26666666666666666,0.7333333333333334
586,1.0,0.23333333333333334,0.7666666666666666
587,1.0,0.4,0.6
588,1.0,0.16666666666666666,0.8333333333333334
589,1.0,0.36666666666666664,0.6333333333333333
590,1.0,0.23333333333333334,0.7666666666666666
591,1.0,0.36666666666666664,0.6333333333333333
592,1.0,0.3,0.7
593,1.0,0.23333333333333334,0.7666666666666666
594,1.0,0.23333333333333334,0.7666666666666666
595,1.0,0.2,0.8
596,1.0,0.23333333333333334,0.7666666666666666
597,1.0,0.3333333333333333,0.6666666666666667
598,1.0,0.2,0.8
599,1.0,0.23333333333333334,0.7666666666666666
600,1.0,0.23333333333333334,0.7666666666666666
601,1.0,0.36666666666666664,0.6333333333333333
602,1.0,0.26666666666666666,0.7333333333333334
603,1.0,0.3333333333333333,0.6666666666666667
604,1.0,0.3,0.7
605,1.0,0.23333333333333334,0.7666666666666666
606,1.0,0.4,0.6
607,1.0,0.23333333333333334,0.7666666666666666
608,1.0,0.2,0.8
609,1.0,0.26666666666666666,0.7333333333333334
610,1.0,0.23333333333333334,0.7666666666666666
611,1.0,0.3333333333333333,0.6666666666666667
612,1.0,0.1,0.9
613,1.0,0.3333333333333333,0.6666666666666667
614,1.0,0.23333333333333334,0.7666666666666666
615,1.0,0.3333333333333333,0.6666666666666667
616,1.0,0.16666666666666666,0.8333333333333334
617,1.0,0.3,0.7
618,1.0,0.3333333333333333,0.6666666666666667
